subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,5/24/2022,5/20/2021,5/25/2021,ALG Research/Hart Research Associates,"",805,rv,.72097516,0,39,37,40.823852,38.31215,"","",https://americansfortaxfairness.org/wp-content/uploads/Toplines-ALG-HART-ATF-Tax-Poll-May-2021-for-release.pdf,75038,143047,7/7/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/22/2021,5/25/2021,YouGov,B+,1135,rv,.36342019,0,46,37,45.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74851,144504,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,5/29/2021,6/1/2021,YouGov,B+,1187,rv,.35765907,0,43,35,42.498199,39.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74878,144505,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/2/2021,6/5/2021,Cor Services,"",519,lv,.6454696,0,41,37,42.48718,36.830937,"","",https://excellenceinpolling.com/public_poll/national-2021-quarter-2-tracking-poll/,75814,154160,3/26/2022,20:26:06 24 May 2022
All polls,5/24/2022,6/2/2021,6/8/2021,ALG Research,B/C,1000,lv,.94813222,0,46,46,45.269469,44.097419,"","",https://thirdway.imgix.net/pdfs/override/Economic-Trust-Gap-Survey-Toplines-June-2021.pdf,75784,144538,8/30/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/5/2021,6/8/2021,YouGov,B+,1189,rv,.34903397,0,46,37,45.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75772,144506,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/7/2021,6/10/2021,The Winston Group,A/B,1000,rv,1.1742924,0,46,42,45.028395,41.58784,"","",https://www.winningtheissues.org/wp-content/uploads/2021/08/Winning-the-Issues-June-2021-National-Survey.pdf,75475,143967,8/6/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/12/2021,6/15/2021,YouGov,B+,1196,rv,.34332307,0,41,34,40.498199,38.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75773,144507,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/11/2021,6/17/2021,Ipsos,B-,4420,a,1.1599265,0,37,30,40.377255,36.337086,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-07/Reuters%20Ipsos%20Large%20Issue%20Poll%20%203%20-%2011%20June%20thru%2017%20June%202021%20Topline%20write-up.pdf,75062,143119,7/8/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/14/2021,6/21/2021,Greenberg Research,B,2000,rv,1.3700447,0,46,44,44.54829,42.817052,"","",https://democracycorps.com/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=267&wpfd_file_id=297950&token=&preview=1,75856,144681,9/2/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/16/2021,6/20/2021,McLaughlin & Associates,C/D,1000,lv,.36946801,0,46,47,44.651323,43.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2021/06/National-Monthly-Omnibus-6-21-21-Release.pdf,74998,142940,6/24/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/18/2021,6/22/2021,Echelon Insights,B/C,1001,rv,.56691074,0,46,42,43.765917,41.718426,"","",https://echeloninsights.com/in-the-news/june-omnibus-political/,74995,142925,6/24/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/19/2021,6/22/2021,YouGov,B+,1157,rv,.33087196,0,44,37,43.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75774,144508,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/22/2021,6/24/2021,RMG Research,B-,1200,rv,.54123909,0,41,38,42.940214,39.370779,"","",https://scottrasmussen.com/generic-ballot-democrats-41-republicans-38/,75015,142990,6/30/2021,20:26:06 24 May 2022
All polls,5/24/2022,6/26/2021,6/29/2021,YouGov,B+,1198,rv,.32854073,0,44,36,43.498199,40.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75012,144509,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/3/2021,7/6/2021,YouGov,B+,1176,rv,.32120516,0,43,37,42.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75036,144510,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/8/2021,7/8/2021,PEM Management Corporation,"",1000,lv,.69027885,0,41.7,42.1,43.032445,41.418487,"","",https://www.boltonsuperpac.com/presser_07192021.php,75257,143478,7/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/10/2021,7/13/2021,YouGov,B+,1159,rv,.31485772,0,44,37,43.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75150,144511,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/17/2021,7/20/2021,YouGov,B+,1187,rv,.31371335,0,44,35,43.498199,39.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75264,144512,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/19/2021,7/23/2021,Echelon Insights,B/C,1143,rv,.57236941,0,48,41,45.765917,40.718426,"","",http://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/July-2021-Omnibus-EXTERNAL-TOPLINES.pdf,75370,143764,7/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/22/2021,7/24/2021,RMG Research,B-,1200,rv,.43201442,0,41,38,42.940214,39.370779,"","",https://scottrasmussen.com/generic-ballot-democrats-41-republicans-38-2/,75377,143778,7/27/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/20/2021,7/28/2021,WPA Intelligence,B/C,1000,rv,.89422336,0,44,42,43.908279,41.835322,"","",https://clubforgrowth.ftlbcdn.net/wp-content/uploads/2021/09/CfGPAC_National_Political_PollingMemo_210915.pdf,76308,145381,9/15/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/24/2021,7/27/2021,YouGov,B+,1178,rv,.30890069,0,43,36,42.498199,40.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75406,144513,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/27/2021,8/2/2021,Quinnipiac University,A-,1145,rv,1.0544069,0,45,44,44.12534,42.994566,"","",https://poll.qu.edu/images/polling/us/us08042021_regvoter_usag18.pdf,75443,143921,8/4/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/29/2021,8/3/2021,McLaughlin & Associates,C/D,1000,lv,.38497859,0,46,48,44.651323,44.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2021/08/National-Monthly-Omnibus-8-2021-Release-.pdf,75491,144003,8/10/2021,20:26:06 24 May 2022
All polls,5/24/2022,7/31/2021,8/3/2021,YouGov,B+,1174,rv,.30514789,0,45,37,44.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75441,144514,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/5/2021,8/7/2021,RMG Research,B-,1200,rv,.39671858,0,42,40,43.940214,41.370779,"","",https://scottrasmussen.com/generic-ballot-democrats-42-republicans-40/,75509,144052,8/11/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/7/2021,8/10/2021,YouGov,B+,2306,rv,.39509866,0,45,37,44.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75508,144515,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/10/2021,8/18/2021,Schoen Cooperman Research,B/C,750,lv,.8612392,0,46,48,44.871517,45.709994,"","",https://drive.google.com/file/d/1aSB6K1a9vTZXeU-S8Hg4CO_6S6fYsmlh/view,75825,144634,9/1/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/12/2021,8/18/2021,Susquehanna Polling & Research,B+,800,lv,1.099399,0,38,39,40.697945,40.329113,"","",https://thefederalist.com/2021/08/19/new-poll-from-the-federalist-susquehanna-shows-joe-bidens-approval-nose-diving-following-botched-afghanistan-withdrawal/,75689,144335,8/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/14/2021,8/17/2021,Hart Research Associates/Public Opinion Strategies,B+,790,rv,.93563434,0,47,46,45.98163,45.19472,"","",https://www.nbcnews.com/politics/meet-the-press/biden-s-job-ratings-decline-amid-covid-surge-afghanistan-withdrawal-n1277368,75707,144388,8/22/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/14/2021,8/17/2021,YouGov,B+,1159,rv,.2963209,0,43,38,42.498199,42.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75618,144516,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/13/2021,8/18/2021,Echelon Insights,B/C,1016,rv,.54462655,0,50,40,47.765917,39.718426,"","",https://echeloninsights.com/in-the-news/august-omnibus-political/,75703,144375,8/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/16/2021,8/16/2021,Ipsos,B-,947,a,.81324788,0,40,37,43.377255,43.337086,"","",https://www.reuters.com/world/us/biden-approval-drops-lowest-level-this-year-after-taliban-takeover-2021-08-17/,75616,144246,8/18/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/3/2021,9/7/2021,SSRS,C,1838,rv,.85784968,0,45,44,43.944902,43.316694,"","",http://cdn.cnn.com/cnn/2021/images/09/12/rel5c.-.partisanship.pdf,75985,145013,9/12/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/21/2021,8/24/2021,YouGov,B+,1162,rv,.29265303,0,44,37,43.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75743,144517,8/26/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/26/2021,8/29/2021,RMG Research,B-,1200,rv,.34835074,0,40,40,41.940214,41.370779,"","",https://scottrasmussen.com/generic-congressional-ballot-tied-among-registered-voters-however-among-very-motivated-voters-gop-has-5-point-lead/,75820,144615,9/1/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/28/2021,8/31/2021,YouGov,B+,1171,rv,.28903307,0,45,38,44.498199,42.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75822,144631,9/1/2021,20:26:06 24 May 2022
All polls,5/24/2022,8/30/2021,9/2/2021,Change Research,B-,1571,lv,1.0207186,0,49,45,46.97267,44.082607,"","",https://changeresearch.com/post/cnbc-change-research-national-poll/,76414,145569,9/22/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/1/2021,9/8/2021,Public Opinion Strategies,A-,800,rv,1.1696906,0,42,42,41.194872,41.962749,"","",https://pos.org/wp-content/uploads/2021/09/September-2021-Omni-Generic-Ballot.pdf,75984,145003,9/10/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/4/2021,9/8/2021,The Winston Group,A/B,1000,rv,1.2353902,0,46,43,45.028395,42.58784,"","",https://www.winningtheissues.org/wp-content/uploads/2021/09/Winning-the-Issues-September-2021-National-Survey.pdf,76417,145578,9/22/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/4/2021,9/7/2021,YouGov,B+,1158,rv,.2816867,0,43,37,42.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75921,144824,9/8/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/10/2021,9/11/2021,RMG Research,B-,1200,rv,.32175587,.00123147,40,40,41.940214,41.370779,"","",https://scottrasmussen.com/generic-congressional-ballot-gop-40-dems-40/,76098,145014,9/13/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/10/2021,9/13/2021,Morning Consult,B,1997,rv,.36701961,.0016716,43,39,42.698646,40.930935,"","",https://assets.morningconsult.com/wp-uploads/2021/09/15071200/2109049_crosstabs_POLITICO_RVs_v1_SH.pdf,76105,145330,9/15/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/10/2021,9/13/2021,YouGov,B+,1153,rv,.27636343,.0011032,43,37,42.498199,41.084682,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,76286,145356,9/15/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/10/2021,9/13/2021,Quinnipiac University,A-,1079,rv,.92245653,.00504721,47,43,46.12534,41.994566,"","",https://poll.qu.edu/poll-release?releaseid=3819,76281,145321,9/14/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/9/2021,9/14/2021,McLaughlin & Associates,C/D,1000,lv,.36570067,.00163105,46,47,44.651323,43.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2021/09/MA-National-Survey-Release-September-2021.pdf,76285,145350,9/15/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/13/2021,9/19/2021,Pew Research Center,B/C,10371,a,1.9956802,.02357103,45,40,44.465543,40.950285,"","",https://docs.google.com/spreadsheets/d/1-BjWhA-McZyEvjDp_kry9WPjK07GHrfw7werH4MeGGs/edit#gid=1390745020,76459,149799,11/12/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/18/2021,9/20/2021,Morning Consult,B,1998,rv,.32932056,.00375131,44,40,43.698646,41.930935,"","",https://assets.morningconsult.com/wp-uploads/2021/09/21221706/2109121_crosstabs_POLITICO_34B_INFRASTRUCTURE_RVs_v1_SH.pdf,76407,145543,9/22/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/18/2021,9/21/2021,YouGov,B+,1281,rv,.28032831,.00295816,52,48,51.498199,52.084682,"","",https://docs.cdn.yougov.com/h4zvi2yb6c/econTabReport.pdf,76410,145558,9/22/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/17/2021,9/23/2021,Echelon Insights,B/C,829,lv,.46383584,.00537148,50,40,47.765917,39.718426,"","",https://echeloninsights.com/in-the-news/september-omnibus-political/,76464,145659,9/24/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/22/2021,9/22/2021,RMG Research,B-,1200,rv,.31002016,.00457728,41,40,42.940214,41.370779,"","",https://scottrasmussen.com/generic-ballot-republicans-44-democrats-38/,77525,151633,1/10/2022,20:26:06 24 May 2022
All polls,5/24/2022,9/22/2021,9/24/2021,Lake Research Partners/Emerson College,"",1000,rv,1.1709915,.02458775,45,41,44.30713,41.411618,"","",https://aitogether.org/wp-content/uploads/2021/10/MEMO_9.28.21_AIT.pdf,76608,146066,10/4/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/16/2021,9/29/2021,Public Religion Research Institute,A/B,2508,a,1.5645046,.03285049,37,29,39.379874,34.12527,"","",https://www.prri.org/research/competing-visions-of-america-an-evolving-identity-or-a-culture-under-attack/,77151,148814,11/1/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/20/2021,9/26/2021,Marist College,A,1029,rv,1.2256777,.02418741,46,38,44.468915,38.988598,"","",https://maristpoll.marist.edu/wp-content/uploads/2021/09/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_PLCV_202109271420.pdf,76556,145985,9/30/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/24/2021,9/27/2021,Morning Consult,B,1999,rv,.30333362,.00558514,45,41,44.698646,42.930935,"","",https://assets.morningconsult.com/wp-uploads/2021/09/29071926/2109161_crosstabs_POLITICO_RVs_v1_SH-2.pdf,76468,145864,9/29/2021,20:26:06 24 May 2022
All polls,5/24/2022,9/26/2021,9/28/2021,YouGov,B+,1246,rv,.26998082,.00445199,52,48,51.498199,52.084682,"","",https://docs.cdn.yougov.com/h4zvi2yb6c/econTabReport.pdf,76511,145879,9/29/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/1/2021,10/4/2021,Quinnipiac University,A-,1177,rv,.93630019,.02632923,44,47,43.12534,45.994566,"","",https://poll.qu.edu/poll-release?releaseid=3823,76611,146077,10/5/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/1/2021,10/4/2021,YouGov,B+,1640,a,.2936338,.0063853,37,31,36.498199,35.084682,"","",https://docs.cdn.yougov.com/a6ira9rwv9/20211001_yahoo_vaccine_tabs.pdf,76619,146229,10/8/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/2/2021,10/4/2021,Morning Consult,B,1998,rv,.28528871,.00722393,43,42,42.698646,43.930935,"","",https://www.politico.com/f/?id=0000017c-5392-d47e-ab7e-dfb2c5590000,76615,146089,10/6/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/3/2021,10/5/2021,YouGov,B+,1261,rv,.26343595,.00595768,43,36,42.498199,40.084682,"","",https://docs.cdn.yougov.com/j46zs8picp/econTabReport.pdf,76617,146112,10/6/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/6/2021,10/9/2021,RMG Research,B-,1200,rv,.30388911,.00945337,40,41,41.940214,42.370779,"","",https://scottrasmussen.com/generic-congressional-ballot-gop-42-dems-40/,77147,151632,1/10/2022,20:26:06 24 May 2022
All polls,5/24/2022,10/8/2021,10/11/2021,Morning Consult,B,1999,rv,.27376002,.00869539,43,41,42.698646,42.930935,"","",https://assets.morningconsult.com/wp-uploads/2021/10/13064013/2110042_crosstabs_POLITICO_RVs_v2_SH.pdf,76754,146309,10/13/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/9/2021,10/12/2021,YouGov,B+,1266,rv,.25931613,.00742091,45,37,44.498199,41.084682,"","",https://docs.cdn.yougov.com/h2rgoa7a3x/econTabReport.pdf,76756,146334,10/13/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/10/2021,10/11/2021,RMG Research,B-,1200,rv,.30411429,.01039835,40,40,41.940214,41.370779,"","",https://scottrasmussen.com/generic-congressional-ballot-gop-42-dems-40/,78245,151631,1/10/2022,20:26:06 24 May 2022
All polls,5/24/2022,10/11/2021,10/13/2021,RMG Research,B-,1200,rv,.30526732,.01072343,40,41,41.940214,42.370779,"","",https://scottrasmussen.com/generic-ballot-republicans-41-democrats-40/,76823,146435,10/15/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/12/2021,10/14/2021,Cor Services,"",508,lv,.53026165,.02099939,39,49,40.48718,48.830937,"","",https://excellenceinpolling.com/public_poll/2021-national-3rd-quarter-tracking-poll/,76924,154159,3/26/2022,20:26:06 24 May 2022
All polls,5/24/2022,10/14/2021,10/18/2021,McLaughlin & Associates,C/D,1000,lv,.35057501,.01273972,47,48,45.651323,44.78139,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2021/10/National-Monthly-October-Release.pdf,76905,146595,10/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/14/2021,10/17/2021,Hart Research Associates/Public Opinion Strategies,B+,800,a,.74845091,.03242123,43,41,41.98163,40.19472,"","",https://www.cnbc.com/video/2021/10/21/cnbcs-all-america-economic-survey-bidens-approval-rating-plummets.html,76912,146638,10/21/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/16/2021,10/18/2021,Morning Consult,B,1998,rv,.26599922,.00998035,45,40,44.698646,41.930935,"","",https://assets.morningconsult.com/wp-uploads/2021/10/20054637/2110084_crosstabs_POLITICO_RVs_v1_SH.pdf,76896,146560,10/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/15/2021,10/19/2021,Echelon Insights,B/C,915,lv,.43226217,.01641398,46,45,43.765917,44.718426,"","",https://echeloninsights.com/in-the-news/october-omnibus-political/,76908,146617,10/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/16/2021,10/19/2021,YouGov,B+,1268,rv,.25508358,.00883154,42,37,41.498199,41.084682,"","",https://docs.cdn.yougov.com/mzvq4c7ty8/econTabReport.pdf,76904,146584,10/20/2021,20:26:06 24 May 2022
All polls,5/24/2022,10/18/2021,10/22/2021,Marist College,A,1032,rv,1.1664921,.06218313,44,41,42.468915,41.988598,"","",https://maristpoll.marist.edu/polls/npr-pbs-newshour-marist-national-poll-trust-in-elections-threat-to-democracy-biden-approval-november-2021/,77150,148810,11/1/2021,20:26:06 24 May 2022
